Alphabets,Colors,Digits,Arithmetic,Shapes,Objects,Emotions,Sound,Communication,Actions,Recommended Lessons
6.05,5.65,8,0,1.25,5.01,6.47,4.5,0.16,8.13, Colors Arithmetic Shapes Objects Sound Communication
7.11,0,0,6.61,5,0,2.05,0,3.65,5.01, Colors Digits Shapes Objects Emotions Sound Communication Actions
3.33,10,0,0,5.14,2,1.77,1.34,1.91,6,Alphabets Digits Arithmetic Shapes Objects Emotions Sound Communication
2.74,6.69,7.51,8.54,9,8.49,4.88,0,0,0.4,Alphabets Emotions Sound Communication Actions
0,4.33,0,0.82,2.93,0,6,0,3.38,2.41,Alphabets Colors Digits Arithmetic Shapes Objects Sound Communication Actions
3,6.73,5,10,0,5.45,5,0,6,2.09,Alphabets Digits Shapes Objects Emotions Sound Actions
1.48,5.01,3,0,1.14,6.65,0,5,0,0,Alphabets Colors Digits Arithmetic Shapes Emotions Sound Communication Actions
6,8.06,1.97,0.94,1.98,5.71,4.92,2,2.75,2.88, Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
0,0,3.27,6.6,4.96,1.28,0,6.39,6.7,1.28,Alphabets Colors Digits Shapes Objects Emotions Actions
0,4.2,0,0,4.09,5.91,6,10,0.51,3,Alphabets Colors Digits Arithmetic Shapes Objects Communication Actions
4,6.55,0.98,2,6,3,5.32,4,0.23,0,Alphabets Digits Arithmetic Objects Emotions Sound Communication Actions
5.76,9,1.41,4.91,5.44,0.71,2.15,7.41,5.6,2.85,Alphabets Digits Arithmetic Shapes Objects Emotions Communication Actions
2.83,7.05,6.07,3.51,2.13,7.63,4,0,3.72,2.42,Alphabets Arithmetic Shapes Emotions Sound Communication Actions
0.15,4.28,4.52,6.54,7.4,0,10,6.33,0,0,Alphabets Colors Digits Objects Communication Actions
0,9,4.02,8.61,5.17,0,1,5.81,2.81,9.24,Alphabets Digits Shapes Objects Emotions Sound Communication
7.42,1.64,4.35,7,2.78,0.63,0.59,6.87,6.15,0, Colors Digits Shapes Objects Emotions Actions
4,5.78,2.96,3,4,4,2.1,5.79,8.57,1.31,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Actions
6.06,9.94,6.95,0,3.26,0.59,2.92,0,0.3,8.4, Arithmetic Shapes Objects Emotions Sound Communication
2.65,0,0.85,0,0,4.37,0,3.16,6.77,7.12,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound
1.29,1.8,6.4,10,3,8.14,2,6.53,8,4,Alphabets Colors Shapes Emotions Actions
9.2,7,5.57,1.17,3.81,0.83,4.95,6.19,1.15,3.62, Digits Arithmetic Shapes Objects Emotions Communication Actions
2.6,0.65,2,6.63,1,2.55,8,0.99,9,2,Alphabets Colors Digits Shapes Objects Sound Actions
3.78,0.47,7.92,2.17,10,6,5.02,4.14,4.18,4.36,Alphabets Colors Arithmetic Emotions Sound Communication Actions
0,2.85,5,2.47,6.89,9,7.35,8.24,8.32,4.47,Alphabets Colors Digits Arithmetic Actions
7,1.23,10,0.82,2.24,0.44,4.76,4.31,9,2.83, Colors Arithmetic Shapes Objects Emotions Sound Actions
7,0,5,7.44,7.36,3.97,8,0,8.58,6.07, Colors Digits Objects Sound
6.8,6.25,4.79,6,4.15,0.85,3.34,0.07,1,0, Digits Shapes Objects Emotions Sound Communication Actions
0,4.25,5.27,2,7.62,7,7.1,2,0.23,0.22,Alphabets Colors Digits Arithmetic Sound Communication Actions
0,4.44,8.15,3,2.9,0,6,0,0,4.44,Alphabets Colors Arithmetic Shapes Objects Sound Communication Actions
0,7,6.51,5.54,9,0,1,0,0.45,8.53,Alphabets Arithmetic Objects Emotions Sound Communication
2,4.21,2.99,5,2.35,7.05,4,7.26,2,10,Alphabets Colors Digits Arithmetic Shapes Emotions Communication
0,4,3,2,5,7.53,6.73,0,0,7.57,Alphabets Colors Digits Arithmetic Shapes Sound Communication
5.9,6.96,7.5,4.87,4,5.28,1,0,5.61,1.43,Alphabets Arithmetic Shapes Objects Emotions Sound Communication Actions
8.8,7,5.22,8,0,7,2.36,3.49,0,0.73, Digits Shapes Emotions Sound Communication Actions
9,5,0,0,4,0.82,7.78,9,5,8.92, Colors Digits Arithmetic Shapes Objects Communication
2.94,1,5.92,2.31,10,4.22,8.91,0.58,1,0,Alphabets Colors Digits Arithmetic Objects Sound Communication Actions
0,6.67,10,3,9,5.47,7.54,5,6.28,7.17,Alphabets Arithmetic Objects Sound
7.53,9.4,3.6,0.79,2.32,2.67,8.93,6,3.96,6.42, Digits Arithmetic Shapes Objects Communication
4.02,3.76,4.17,0.05,2,8.16,2.84,7.97,2.84,1.32,Alphabets Colors Digits Arithmetic Shapes Emotions Communication Actions
0,6.06,5.38,6.91,1.23,3,0,9.71,6.37,6,Alphabets Digits Shapes Objects Emotions
8,3.11,6.33,1,7.07,4.3,2.19,2.41,3,4.3, Colors Arithmetic Objects Emotions Sound Communication Actions
5,0,6.9,4.94,7.85,1.46,4.16,6.01,3,8.76,Alphabets Colors Arithmetic Objects Emotions Communication
7.79,0.68,4.83,5.81,0,7.8,0.56,8.63,7.51,5, Colors Digits Arithmetic Shapes Emotions Actions
8.3,6.92,7.65,8,2.5,0,0,1.47,9.4,5.57, Shapes Objects Emotions Sound Actions
3.19,2.58,5.01,6,7.98,0,0.24,0,1.64,6.82,Alphabets Colors Digits Objects Emotions Sound Communication
3.16,0.86,9,4.3,1.34,1.54,6.54,0,7,0,Alphabets Colors Arithmetic Shapes Objects Sound Actions
2.93,4,5.49,0,4.24,5.75,9.25,6.1,5.86,0,Alphabets Colors Digits Arithmetic Shapes Objects Communication Actions
0.01,10,0,7.12,3,7.69,7.61,0,5.31,0.11,Alphabets Digits Shapes Sound Communication Actions
3.12,3.31,9,7.13,7.3,7,0,3,4.1,0,Alphabets Colors Emotions Sound Communication Actions
0,6.72,3.5,1.2,8.43,6.41,1.06,6.5,3.96,2,Alphabets Digits Arithmetic Emotions Communication Actions
5.48,2.64,2,1.88,8.02,5.97,9,0,0,4.38,Alphabets Colors Digits Arithmetic Objects Sound Communication Actions
0,7.13,0,5.41,0,1.89,4.89,0.87,1,4.17,Alphabets Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
6.55,7,9.87,0,7.8,10,0.22,1.7,7.39,0, Arithmetic Emotions Sound Actions
6.7,2.7,3.57,3.32,0,6,0,0,0,0, Colors Digits Arithmetic Shapes Emotions Sound Communication Actions
1.24,5.54,8,8.7,6.96,3.97,10,2.11,3.97,0,Alphabets Colors Objects Sound Communication Actions
5,0,6.42,0,0,2,5.1,9,3.32,0,Alphabets Colors Arithmetic Shapes Objects Emotions Communication Actions
3.89,0,3,4,0,7.23,4.87,1.95,1.6,0,Alphabets Colors Digits Arithmetic Shapes Emotions Sound Communication Actions
4.1,5,1,0,0,6.06,1.96,0,5,5,Alphabets Colors Digits Arithmetic Shapes Emotions Sound Communication Actions
2,0,1,8.28,8.37,3,1,8,0.32,8,Alphabets Colors Digits Objects Emotions Communication
0,4.78,10,0.87,6,2,8.58,3.9,3.64,2.02,Alphabets Colors Arithmetic Objects Sound Communication Actions
1.7,7.7,2.07,2.9,9.91,0,3.65,5.89,5.03,0,Alphabets Digits Arithmetic Objects Emotions Sound Communication Actions
0.64,0,4,7.02,8.23,10,8.64,7,2.19,1.66,Alphabets Colors Digits Communication Actions
10,3.35,0,0,7.38,3,10,3.19,0,3, Colors Digits Arithmetic Objects Sound Communication Actions
4.37,3.08,4.87,0.65,6.69,3.98,4.82,4,0.09,2,Alphabets Colors Digits Arithmetic Objects Emotions Sound Communication Actions
4,0,9.41,0,7.5,4.89,5,3.34,0,6.01,Alphabets Colors Arithmetic Objects Emotions Sound Communication
3.12,2.2,6,2,7.12,8,0,10,10,0,Alphabets Colors Arithmetic Emotions Actions
9.13,0.8,3.96,0,5.55,5.62,0,0.21,0.68,3, Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
0,4.79,9,1,6.69,7.62,1,8.82,1.91,0.87,Alphabets Colors Arithmetic Emotions Communication Actions
3.48,4.75,5.2,7.53,6.82,8.98,10,1,0,9,Alphabets Colors Digits Sound Communication
7.38,5,8.4,7,4.23,3.85,0,4.96,3.28,0, Colors Shapes Objects Emotions Sound Communication Actions
0,5.81,2.41,4,0,8,0.59,6,3,0,Alphabets Colors Digits Arithmetic Shapes Emotions Communication Actions
0,1.94,1.39,6.45,0.07,0.43,5,8.29,4.56,6.04,Alphabets Colors Digits Shapes Objects Emotions Communication
0,0,0,2.94,7.31,0,5.13,7.94,5.57,1,Alphabets Colors Digits Arithmetic Objects Emotions Communication Actions
6.23,4.83,0,4.95,10,9,0,5.05,4.36,1, Colors Digits Arithmetic Emotions Sound Communication Actions
7.83,8.78,1.31,6.78,5,2,5,0.78,0,2.21, Digits Shapes Objects Emotions Sound Communication Actions
5.34,6,2,1.31,10,7.17,6,9,10,8.04,Alphabets Digits Arithmetic
7,0.43,3.34,6.64,5.4,9,3.54,4.41,1.66,3.94, Colors Digits Shapes Emotions Sound Communication Actions
0.95,0,3,4,0,0,0.41,8.67,1,2.06,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Communication Actions
9.99,1,8,0,8.1,7.98,3.53,4.21,0,8, Colors Arithmetic Emotions Sound Communication
4,1.6,0,0,9,10,0,4.97,7,6,Alphabets Colors Digits Arithmetic Emotions Sound
5,6,8,2,3.6,4.98,0,5,0,10,Alphabets Arithmetic Shapes Objects Emotions Sound Communication
1,9,5,6.31,2,5.8,0,4.09,8.56,0,Alphabets Digits Shapes Objects Emotions Sound Actions
3,7,4,3,0,6,2.14,8.66,0.41,5,Alphabets Digits Arithmetic Shapes Emotions Communication Actions
8,0,3,3,8.92,6.84,8,0,0,5.94, Colors Digits Arithmetic Sound Communication Actions
2.06,10,3.7,8,8.05,7.22,6.73,3,2.08,4,Alphabets Digits Sound Communication Actions
4.15,1.51,7.92,2.14,0.04,10,2.95,6,5.09,7.83,Alphabets Colors Arithmetic Shapes Emotions Communication
4,7.64,3,0,6.69,0.55,5,0,2.85,2.37,Alphabets Digits Arithmetic Objects Emotions Sound Communication Actions
0,8,0.11,5,8.91,0,2.02,3.83,5.21,7,Alphabets Digits Arithmetic Objects Emotions Sound Communication
7.11,3.36,9.21,0,5.59,2.04,10,0,9,2.78, Colors Arithmetic Shapes Objects Sound Actions
5,6.1,0.71,0,7.16,3.96,2.82,2,8.99,10,Alphabets Digits Arithmetic Objects Emotions Sound
5.58,0.52,6.62,1.4,0.19,3.86,8.59,1,0.12,0,Alphabets Colors Arithmetic Shapes Objects Sound Communication Actions
8.98,3.21,7,6,7.16,7.94,2.4,5.71,5.66,6.94, Colors Emotions Sound Communication
2.78,1.72,5,5.13,0.22,0,0.58,4,7.09,3.56,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Actions
0,0,3.29,0.95,0,5.73,6,2,6,2.52,Alphabets Colors Digits Arithmetic Shapes Objects Sound Actions
0,0,8.49,1,1.93,4.33,0.19,7,8.35,1.6,Alphabets Colors Arithmetic Shapes Objects Emotions Actions
1.99,5.85,3,1,5,1,0.19,0,0,3.98,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
0,1.67,0.32,9,7.2,1.18,5,0,9.38,2.25,Alphabets Colors Digits Objects Emotions Sound Actions
2.95,0,4.44,7.51,7,0,0,3.56,1.9,0,Alphabets Colors Digits Objects Emotions Sound Communication Actions
5.28,1.44,3,1,4.44,1.48,5.43,0,9,6.58,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound
0,1.64,2.99,0,4.31,0.08,2,3,5,0.63,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
3.32,4,7.92,8.8,4.99,4,5.41,0,0,6.36,Alphabets Colors Shapes Objects Emotions Sound Communication
6,6,9.17,3,2,6.24,9,0,10,3.26, Arithmetic Shapes Sound Actions
9,7.42,0,0,5,7.91,8.99,1,10,6.39, Digits Arithmetic Shapes Sound
8.03,2.7,3,7,1.25,1,0.02,5.19,0.73,0, Colors Digits Shapes Objects Emotions Sound Communication Actions
7.21,0,0.98,0,5.34,0,3.53,8,2.87,0, Colors Digits Arithmetic Shapes Objects Emotions Communication Actions
0,3.62,4.29,2,5.81,6.45,0,2.78,5.26,6.07,Alphabets Colors Digits Arithmetic Shapes Emotions Sound Communication
7.7,4.07,8.62,2,0.5,5.65,9,6.3,2,1.82, Colors Arithmetic Shapes Objects Communication Actions
7.4,4,0.63,5.82,1.52,1.39,0.57,6.54,7.65,0, Colors Digits Arithmetic Shapes Objects Emotions Actions
1.74,0,5.1,0,5.72,4.7,1,0,7.99,3.25,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Actions
4,7,0,1.43,4.48,6.04,8,7.52,0.8,0.98,Alphabets Digits Arithmetic Shapes Communication Actions
0,6.11,8,0,1.83,2.99,7,0,0.28,0,Alphabets Arithmetic Shapes Objects Sound Communication Actions
3,0,0,4.98,7.34,1.7,6.86,3.01,1.91,2.94,Alphabets Colors Digits Arithmetic Objects Sound Communication Actions
7.09,0,4.98,0.99,1.9,9.62,7.05,0,5.98,7.98, Colors Digits Arithmetic Shapes Sound Communication
0,9.05,0.38,4.08,8.32,2.75,0,5.01,0,7,Alphabets Digits Arithmetic Objects Emotions Sound Communication
0.52,0,0,0,2.81,6.99,0.3,4.1,2,3,Alphabets Colors Digits Arithmetic Shapes Emotions Sound Communication Actions
7.54,4.12,4.82,7.49,0,4.34,6.05,5.93,1.58,1, Colors Digits Shapes Objects Sound Communication Actions
10,10,1.58,4.35,5.45,4.35,9,5.85,1.57,0, Digits Arithmetic Shapes Objects Sound Communication Actions
4.89,0.71,3.65,10,5.88,2.18,6,6,1,0.1,Alphabets Colors Digits Shapes Objects Communication Actions
8.41,4.91,2,8,6.49,5.19,6.35,3.57,8.79,0, Colors Digits Objects Sound Actions
0.23,0,9,1,3,0,7,0,6.95,0.97,Alphabets Colors Arithmetic Shapes Objects Sound Actions
5,0,3.86,1.97,8.78,4.09,3,8.69,7.44,5,Alphabets Colors Digits Arithmetic Objects Emotions Actions
4.5,6.33,7,1.35,3,0,5.04,0,0.51,9,Alphabets Arithmetic Shapes Objects Emotions Sound Communication
0,5.79,0,0,9,5.48,3.84,2.52,1.53,7.81,Alphabets Colors Digits Arithmetic Objects Emotions Sound Communication
3,2.29,0.27,8.37,3,4.58,9.32,5.42,0,1.63,Alphabets Colors Digits Shapes Objects Sound Communication Actions
5.41,6.63,0,10,3.99,6.31,2.5,9,7.54,6.94,Alphabets Digits Shapes Emotions
2.8,8,1.5,0,3.27,7.39,2,3.68,8,7.23,Alphabets Digits Arithmetic Shapes Emotions Sound
3,3.88,0,0.8,5,1.91,5.94,6.21,1.05,0.97,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Communication Actions
8.68,10,0,6.65,1.49,5.59,4.02,8,5.36,1, Digits Shapes Objects Emotions Communication Actions
7,0,3.08,5.79,10,9,7,5.16,7.43,1.69, Colors Digits Arithmetic Sound Actions
4,3.97,0,8.02,1.41,1,0.49,6,6.11,6.53,Alphabets Colors Digits Shapes Objects Emotions
0,9,5.61,7,4.44,3.82,6.07,0,1.78,6,Alphabets Digits Shapes Objects Sound Communication
1.64,5,8,3.61,0.83,0,0.31,0,0.74,0,Alphabets Colors Arithmetic Shapes Objects Emotions Sound Communication Actions
2,8,0.61,5,1.24,1,0,2,6.5,0.56,Alphabets Digits Arithmetic Shapes Objects Emotions Sound Actions
5.73,7,7,2.14,8,0,0,0,0,1,Alphabets Arithmetic Objects Emotions Sound Communication Actions
1.13,3,4.02,6.97,2,3.97,0.99,1,0,3.71,Alphabets Colors Digits Shapes Objects Emotions Sound Communication Actions
9,10,6.09,5,3,0.1,2.85,0,9,9, Arithmetic Shapes Objects Emotions Sound
7,5.71,5.52,0,4.71,4,8.52,1,2.23,8, Colors Digits Arithmetic Shapes Objects Sound Communication
0,0,1.73,8.91,2,2.51,4.72,6.32,1,9,Alphabets Colors Digits Shapes Objects Emotions Communication
4,5.96,0,0,8,6,4.89,3.76,0,5.53,Alphabets Colors Digits Arithmetic Emotions Sound Communication Actions
7,4.21,8.81,4.74,7.86,0,7.86,3,5.48,0, Colors Arithmetic Objects Sound Communication Actions
3.14,4.33,2.42,3.91,0.63,8,8,0.76,2,0.33,Alphabets Colors Digits Arithmetic Shapes Sound Communication Actions
8,6,7.94,1,1.28,0,0.29,7,10,8, Arithmetic Shapes Objects Emotions
8.64,5.09,0,0,0,9.98,4.48,1.48,7.22,3, Colors Digits Arithmetic Shapes Emotions Sound Actions
10,4,9.18,9,5.94,4.58,3.07,6.49,8,6, Colors Shapes Objects Emotions
1,4,0.52,4.33,0,6.99,2.87,1.8,8,0.99,Alphabets Colors Digits Arithmetic Shapes Emotions Sound Actions
5.35,6.53,4,10,0,6.59,2.65,4.96,0,6.54,Alphabets Digits Shapes Emotions Sound Communication
5.83,0.53,0,1.97,0,1,1.13,0.38,9,8.65,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound
8,0,5.24,5.08,7.83,6.6,5,7,4.61,0, Colors Digits Arithmetic Emotions Communication Actions
6,2.9,9.65,0,5,10,5,1.93,3.33,8, Colors Arithmetic Shapes Emotions Sound Communication
6,7,8.73,8.89,0,0,5.28,0,7.24,3, Shapes Objects Emotions Sound Actions
0,6.64,3.4,0.94,6.29,6.75,0.23,0,4,0,Alphabets Digits Arithmetic Emotions Sound Communication Actions
1.26,0,4.49,3,5,6.85,8.41,8,10,8.2,Alphabets Colors Digits Arithmetic Shapes
0,0,0.38,3,7,0,2.35,3.66,0,6.72,Alphabets Colors Digits Arithmetic Objects Emotions Sound Communication
1.55,9,0,4.26,7,7,7.62,3,0.16,10,Alphabets Digits Arithmetic Sound Communication
0.29,4.63,1,1,1.48,7.77,1.48,0.86,0,7.99,Alphabets Colors Digits Arithmetic Shapes Emotions Sound Communication
9,3,0,0,7.92,4.51,0,4.62,5.28,10, Colors Digits Arithmetic Objects Emotions Sound Communication
0.32,3,0,6.88,3.1,3.89,3.47,9,0.49,2.6,Alphabets Colors Digits Shapes Objects Emotions Communication Actions
0.48,4.4,5,7.78,0,4.12,6.96,5,1,0.53,Alphabets Colors Digits Shapes Objects Sound Communication Actions
5,5,0,0,7.85,5.59,0,1.92,8.31,2.92,Alphabets Colors Digits Arithmetic Objects Emotions Sound Actions
7.82,0.73,10,0,1.75,9,1.49,0,4,2, Colors Arithmetic Shapes Emotions Sound Communication Actions
0,4.6,0,5.75,8.33,0.76,0,3.96,1.02,7.41,Alphabets Colors Digits Arithmetic Objects Emotions Sound Communication
1.22,3,0,7,9.68,8.19,3.55,1.96,6.94,7.31,Alphabets Colors Digits Emotions Sound
4.53,2.19,2.21,0,5.49,4,0,0,3.19,4,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
0,0,6,8.08,6,2.96,0,0,2.66,0,Alphabets Colors Objects Emotions Sound Communication Actions
0.11,7,0,2,7,8,8.33,4.91,0.87,0,Alphabets Digits Arithmetic Sound Communication Actions
7.74,1,2,0.41,4.8,0.74,1.88,6.71,8.27,1.14, Colors Digits Arithmetic Shapes Objects Emotions Actions
0.74,4.91,0,7.13,4.03,1.9,9,0.36,1,5,Alphabets Colors Digits Shapes Objects Sound Communication Actions
0,3.19,2,9.48,0,2.34,0,2.77,3.29,2.1,Alphabets Colors Digits Shapes Objects Emotions Sound Communication Actions
0.91,5.97,8.5,7.26,5.73,6,4.35,6,1,6.73,Alphabets Colors Shapes Emotions Communication
8,2.32,7,7.14,0,1.29,9.64,9.56,0.49,0, Colors Shapes Objects Communication Actions
7,3.69,4,0,4,4,8.17,4,1,10, Colors Digits Arithmetic Shapes Objects Sound Communication
9,5.37,7,0,4,0,3.96,7.02,8.82,5.07, Colors Arithmetic Shapes Objects Emotions Actions
0,8,0.24,5,0,7.68,4.14,9,0,0,Alphabets Digits Arithmetic Shapes Emotions Communication Actions
0,1.87,10,9,4.71,3.77,2,2.12,3.81,4.55,Alphabets Colors Shapes Objects Emotions Sound Communication Actions
1.04,10,0,9,8,3,6,5.88,1.35,8,Alphabets Digits Objects Sound Communication
1.38,6.71,5.18,0.06,8.97,7.15,2.49,1.39,3,6,Alphabets Digits Arithmetic Emotions Sound Communication
0,2.57,6.67,3.82,0,3,10,4,6,0,Alphabets Colors Arithmetic Shapes Objects Sound Actions
5.6,4.16,6.22,0.66,6.93,8.94,7,6.4,4,1.36,Alphabets Colors Arithmetic Communication Actions
1,0,2.74,4,3.86,0,0.28,8.35,3,0.49,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Communication Actions
0.79,0.18,6,9,0,1.99,0,1,5.47,1,Alphabets Colors Shapes Objects Emotions Sound Communication Actions
8,2.94,0,6.34,3.65,0,3.13,3,0.67,6, Colors Digits Shapes Objects Emotions Sound Communication
3.93,2.61,4.64,4.76,0.16,9,9,1.93,6.99,0,Alphabets Colors Digits Arithmetic Shapes Sound Actions
1,7.74,0.15,4.55,3.23,8,9.94,8.07,8.96,4,Alphabets Digits Arithmetic Shapes Actions
0,6.44,0,1.58,8.61,7.56,8,6,7.25,0,Alphabets Digits Arithmetic Actions
2.25,4.77,7,0,8,4.73,0,2,1.57,9.7,Alphabets Colors Arithmetic Objects Emotions Sound Communication
4.64,8.97,3.86,6,0,7.33,1,8,9,1.72,Alphabets Digits Shapes Emotions Actions
8,8.47,2.56,2.62,3,0,6.08,3.38,2.09,2, Digits Arithmetic Shapes Objects Sound Communication Actions
5,9,1.68,6.95,10,7,7.48,5.74,0,7.38,Alphabets Digits Sound Communication
7,5.07,6.93,0.23,5,2.38,1.13,1.21,0,2.46, Colors Arithmetic Shapes Objects Emotions Sound Communication Actions
2.63,0,0,1.87,7.33,4.09,2,4.51,1.38,6,Alphabets Colors Digits Arithmetic Objects Emotions Sound Communication
4.2,2.97,0,6,5.93,6,0,9,4.91,1.46,Alphabets Colors Digits Shapes Emotions Communication Actions
1,0,0,4,4.16,8.64,4.24,3.74,0.88,7.21,Alphabets Colors Digits Arithmetic Shapes Emotions Sound Communication
5,3.33,8.16,1.45,8,0,7.86,10,0.78,1.84,Alphabets Colors Arithmetic Objects Communication Actions
8,2.13,4,7.38,6.38,4.85,1,7.01,0.42,6.92, Colors Digits Objects Emotions Communication
3.5,3.68,1.83,2.62,4.84,5.6,0.21,0,1.41,2.69,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
3,0,9,5.5,9,3.66,4,1.6,2.97,3,Alphabets Colors Arithmetic Objects Emotions Sound Communication Actions
0,4.5,0.14,9,0,0,2,6.4,5.24,0,Alphabets Colors Digits Shapes Objects Emotions Communication Actions
4.42,0.21,2,8.05,10,7.37,0,0,0,5.52,Alphabets Colors Digits Emotions Sound Communication Actions
4,5,0.67,0.21,1.38,1.68,0,9,3,6,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Communication
3.4,0,5.66,0,1,2,1.52,7.05,7.41,7.89,Alphabets Colors Digits Arithmetic Shapes Objects Emotions
4.2,0,3,1.26,0,4,0,5,5.83,3.63,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
2,1,5.65,3,5.88,0,5,6.03,4,2.74,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Communication Actions
6.3,3.06,0,0,4.81,7,4.44,0,0,0, Colors Digits Arithmetic Shapes Emotions Sound Communication Actions
5.87,5.67,10,0,9,0,2.16,7,4,1.09,Alphabets Colors Arithmetic Objects Emotions Communication Actions
4,8,8,5,0,1.81,0,7.37,3.33,6.94,Alphabets Arithmetic Shapes Objects Emotions Communication
0.59,7.6,3.2,6.2,6.1,3,7,2.05,6.35,5,Alphabets Digits Objects Sound Actions
0.85,5.24,0,0.01,3.9,0.96,0.7,9,4.08,6,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Communication
0,10,4,6,3.32,4.97,1,0,1.56,0.66,Alphabets Digits Shapes Objects Emotions Sound Communication Actions
2.62,3.92,2.85,2.57,10,7.08,5,3.28,8.66,1.33,Alphabets Colors Digits Arithmetic Emotions Sound Actions
8,0,7,6.43,2.36,7.43,0.28,6.58,0,2.08, Colors Shapes Emotions Communication Actions
5,8.16,3,5,8.24,5.31,5.03,3,1.04,8,Alphabets Digits Arithmetic Objects Emotions Sound Communication
4,7,1.37,0,2.8,8.98,5.79,0.61,8.86,5.26,Alphabets Digits Arithmetic Shapes Emotions Sound Actions
2,6,1,10,1.43,7.95,1,6,0,0,Alphabets Digits Shapes Emotions Communication Actions
0,7,8.83,5,7.79,0,0.78,5.49,7.56,1.94,Alphabets Arithmetic Objects Emotions Sound Actions
1.83,6,0.36,2.18,4.62,8.01,8,6.84,2.59,8.49,Alphabets Digits Arithmetic Shapes Communication
3.43,4,8.89,1.55,7.78,10,6.55,8,7,2,Alphabets Colors Arithmetic Actions
2,0.01,2.83,5,4.69,5.88,0.73,7.01,6,0,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Actions
0.7,6.16,6,0.18,1,2.68,6.73,0,7.64,0.84,Alphabets Arithmetic Shapes Objects Sound Actions
1.21,4.1,3.5,4,4.26,6,1,6,0.99,5.26,Alphabets Colors Digits Arithmetic Shapes Emotions Communication Actions
0.23,8.04,7.95,3.54,0,1.31,4,2,6.13,6.36,Alphabets Arithmetic Shapes Objects Emotions Sound
10,2,6.22,3.12,9,1.15,7,5.4,1,5, Colors Arithmetic Objects Sound Communication Actions
0,3.93,2.22,0.45,10,10,6,3.11,7.48,0,Alphabets Colors Digits Arithmetic Sound Actions
0,5,3.06,7.68,7.85,0.62,0.3,3,1.61,4.74,Alphabets Colors Digits Objects Emotions Sound Communication Actions
5.12,2.13,0,6.21,7.62,0,6.6,0,6.04,8.96,Alphabets Colors Digits Objects Sound
6,0,1,0,1.57,6.12,0,4.5,3,7.97, Colors Digits Arithmetic Shapes Emotions Sound Communication
2.47,7.21,5.23,3.29,2,0,3,4.48,4.98,2.69,Alphabets Digits Arithmetic Shapes Objects Emotions Sound Communication Actions
10,2.77,10,8,1.9,0,0,3.85,3.52,9.86, Colors Shapes Objects Emotions Sound Communication
4,5.02,6,5,10,7.54,9.52,7,5.86,0,Alphabets Colors Arithmetic Communication Actions
7.78,6,5.05,5.29,0.2,4,5.49,3.6,6.59,6.52, Digits Arithmetic Shapes Objects Emotions Sound
0.25,4.98,4.48,0,4,5.57,2.82,0,0,9,Alphabets Colors Digits Arithmetic Shapes Objects Emotions Sound Communication
0,4.56,5.53,3.8,7.05,7.71,7.15,5.16,6.03,5,Alphabets Colors Digits Arithmetic Sound Actions
8.39,0,1.28,5.22,6.3,0,4.7,3,2,4.03, Colors Digits Arithmetic Objects Emotions Sound Communication Actions
10,5.04,3.39,0,3.42,5.8,5.67,10,4,8, Colors Digits Arithmetic Shapes Objects Emotions Communication
5,3.07,0,5.1,0,5.72,8,2.73,0.86,5.51,Alphabets Colors Digits Arithmetic Shapes Objects Sound Communication Actions
1.8,3.93,10,6,2.53,0.66,7.25,0,5.96,3.53,Alphabets Colors Shapes Objects Sound Communication Actions
7,1.95,6.19,0.27,3,8.04,1.9,10,3.45,9.83, Colors Arithmetic Shapes Emotions Communication
0,3,5.58,7.72,4.83,9.85,0,0.9,3.94,1.08,Alphabets Colors Digits Shapes Emotions Sound Communication Actions
3.85,9,8.58,6.35,0.88,5,5,1,9.81,0,Alphabets Shapes Objects Emotions Sound Actions
8.79,3.61,0,2.64,0,9,1,3,4,5.55, Colors Digits Arithmetic Shapes Emotions Sound Communication Actions
0.54,4.99,6.77,5.06,0,0.35,5.86,0,1.99,0,Alphabets Colors Arithmetic Shapes Objects Emotions Sound Communication Actions
3,10,9.35,4,0,4,6,6.2,2.51,8,Alphabets Arithmetic Shapes Objects Communication
